#   H/He  BESS-PolarI(2004/12)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
6.061000e+00 5.885000e+00 6.244000e+00 5.900000e+00 3.600000e-02 3.600000e-02 2.110000e-01 1.390000e-01 2.140491e-01 1.435862e-01
6.434000e+00 6.244000e+00 6.630000e+00 5.921000e+00 3.800000e-02 3.800000e-02 2.160000e-01 1.380000e-01 2.193171e-01 1.431363e-01
6.834000e+00 6.630000e+00 7.046000e+00 5.846000e+00 3.800000e-02 3.800000e-02 2.160000e-01 1.350000e-01 2.193171e-01 1.402462e-01
7.265000e+00 7.046000e+00 7.493000e+00 5.804000e+00 3.900000e-02 3.900000e-02 2.160000e-01 1.320000e-01 2.194926e-01 1.376408e-01
7.729000e+00 7.493000e+00 7.973000e+00 5.771000e+00 4.100000e-02 4.100000e-02 2.140000e-01 1.300000e-01 2.178922e-01 1.363121e-01
8.292000e+00 7.973000e+00 8.626000e+00 5.719000e+00 3.700000e-02 3.700000e-02 2.130000e-01 1.280000e-01 2.161897e-01 1.332404e-01
8.975000e+00 8.626000e+00 9.342000e+00 5.695000e+00 3.900000e-02 3.900000e-02 2.120000e-01 1.260000e-01 2.155574e-01 1.318977e-01
9.725000e+00 9.342000e+00 1.013000e+01 5.603000e+00 4.000000e-02 4.000000e-02 2.080000e-01 1.220000e-01 2.118112e-01 1.283900e-01
1.055000e+01 1.013000e+01 1.099000e+01 5.611000e+00 4.300000e-02 4.300000e-02 2.080000e-01 1.210000e-01 2.123982e-01 1.284134e-01
1.145000e+01 1.099000e+01 1.194000e+01 5.494000e+00 4.400000e-02 4.400000e-02 2.030000e-01 1.180000e-01 2.077137e-01 1.259365e-01
1.244000e+01 1.194000e+01 1.297000e+01 5.422000e+00 4.600000e-02 4.600000e-02 2.000000e-01 1.170000e-01 2.052218e-01 1.257179e-01
1.354000e+01 1.297000e+01 1.412000e+01 5.482000e+00 4.900000e-02 4.900000e-02 2.030000e-01 1.190000e-01 2.088301e-01 1.286934e-01
1.473000e+01 1.412000e+01 1.538000e+01 5.366000e+00 5.100000e-02 5.100000e-02 1.990000e-01 1.170000e-01 2.054313e-01 1.276323e-01
1.605000e+01 1.538000e+01 1.676000e+01 5.315000e+00 5.400000e-02 5.400000e-02 1.980000e-01 1.170000e-01 2.052316e-01 1.288604e-01
1.749000e+01 1.676000e+01 1.827000e+01 5.292000e+00 5.800000e-02 5.800000e-02 1.980000e-01 1.180000e-01 2.063201e-01 1.314838e-01
1.909000e+01 1.827000e+01 1.995000e+01 5.167000e+00 5.900000e-02 5.900000e-02 1.940000e-01 1.170000e-01 2.027733e-01 1.310343e-01
2.084000e+01 1.995000e+01 2.179000e+01 5.291000e+00 6.600000e-02 6.600000e-02 2.000000e-01 1.220000e-01 2.106086e-01 1.387083e-01
2.297000e+01 2.179000e+01 2.423000e+01 5.109000e+00 6.200000e-02 6.200000e-02 1.950000e-01 1.210000e-01 2.046192e-01 1.359596e-01
2.556000e+01 2.423000e+01 2.698000e+01 4.981000e+00 6.600000e-02 6.600000e-02 1.930000e-01 1.220000e-01 2.039730e-01 1.387083e-01
2.846000e+01 2.698000e+01 3.005000e+01 5.100000e+00 7.400000e-02 7.400000e-02 2.010000e-01 1.300000e-01 2.141892e-01 1.495861e-01
3.172000e+01 3.005000e+01 3.351000e+01 4.990000e+00 7.900000e-02 7.900000e-02 2.010000e-01 1.330000e-01 2.159676e-01 1.546932e-01
3.538000e+01 3.351000e+01 3.739000e+01 4.964000e+00 8.600000e-02 8.600000e-02 2.050000e-01 1.400000e-01 2.223083e-01 1.643046e-01
3.948000e+01 3.739000e+01 4.173000e+01 4.801000e+00 9.000000e-02 9.000000e-02 2.030000e-01 1.440000e-01 2.220563e-01 1.698117e-01
4.408000e+01 4.173000e+01 4.660000e+01 5.066000e+00 1.070000e-01 1.070000e-01 2.220000e-01 1.620000e-01 2.464407e-01 1.941469e-01
4.924000e+01 4.660000e+01 5.207000e+01 4.787000e+00 1.090000e-01 1.090000e-01 2.170000e-01 1.630000e-01 2.428374e-01 1.960867e-01
5.503000e+01 5.207000e+01 5.820000e+01 4.758000e+00 1.200000e-01 1.200000e-01 2.220000e-01 1.710000e-01 2.523569e-01 2.089043e-01
6.152000e+01 5.820000e+01 6.508000e+01 4.787000e+00 1.340000e-01 1.340000e-01 2.340000e-01 1.850000e-01 2.696516e-01 2.284316e-01
7.137000e+01 6.508000e+01 7.846000e+01 4.777000e+00 1.170000e-01 1.170000e-01 2.460000e-01 2.000000e-01 2.724059e-01 2.317089e-01
8.608000e+01 7.846000e+01 9.467000e+01 4.711000e+00 1.360000e-01 1.360000e-01 2.570000e-01 2.150000e-01 2.907662e-01 2.544032e-01
1.039000e+02 9.467000e+01 1.143000e+02 4.637000e+00 1.560000e-01 1.560000e-01 2.770000e-01 2.390000e-01 3.179072e-01 2.854067e-01
1.255000e+02 1.143000e+02 1.381000e+02 4.353000e+00 1.680000e-01 1.680000e-01 2.790000e-01 2.460000e-01 3.256762e-01 2.978926e-01
1.516000e+02 1.381000e+02 1.669000e+02 4.408000e+00 2.040000e-01 2.040000e-01 3.250000e-01 2.960000e-01 3.837199e-01 3.594885e-01
