#   H/He  AMS02(2011/05-2013/11)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
5.411490e+01 5.220000e+01 5.610000e+01 4.707000e+00 1.200000e-02 1.200000e-02 8.200000e-02 8.200000e-02 8.287340e-02 8.287340e-02
5.816210e+01 5.610000e+01 6.030000e+01 4.678000e+00 1.200000e-02 1.200000e-02 8.200000e-02 8.200000e-02 8.287340e-02 8.287340e-02
6.250950e+01 6.030000e+01 6.480000e+01 4.671000e+00 1.300000e-02 1.300000e-02 8.200000e-02 8.200000e-02 8.302409e-02 8.302409e-02
6.720540e+01 6.480000e+01 6.970000e+01 4.668000e+00 1.400000e-02 1.400000e-02 8.200000e-02 8.200000e-02 8.318654e-02 8.318654e-02
7.225320e+01 6.970000e+01 7.490000e+01 4.610000e+00 1.500000e-02 1.500000e-02 8.100000e-02 8.100000e-02 8.237718e-02 8.237718e-02
7.764950e+01 7.490000e+01 8.050000e+01 4.598000e+00 1.500000e-02 1.500000e-02 8.100000e-02 8.100000e-02 8.237718e-02 8.237718e-02
8.344610e+01 8.050000e+01 8.650000e+01 4.553000e+00 1.600000e-02 1.600000e-02 8.000000e-02 8.000000e-02 8.158431e-02 8.158431e-02
8.969110e+01 8.650000e+01 9.300000e+01 4.530000e+00 1.700000e-02 1.700000e-02 8.000000e-02 8.000000e-02 8.178631e-02 8.178631e-02
9.643650e+01 9.300000e+01 1.000000e+02 4.514000e+00 1.800000e-02 1.800000e-02 8.000000e-02 8.000000e-02 8.200000e-02 8.200000e-02
1.039230e+02 1.000000e+02 1.080000e+02 4.505000e+00 1.900000e-02 1.900000e-02 8.000000e-02 8.000000e-02 8.222530e-02 8.222530e-02
1.119290e+02 1.080000e+02 1.160000e+02 4.495000e+00 2.100000e-02 2.100000e-02 8.100000e-02 8.100000e-02 8.367795e-02 8.367795e-02
1.204160e+02 1.160000e+02 1.250000e+02 4.514000e+00 2.200000e-02 2.200000e-02 8.200000e-02 8.200000e-02 8.489994e-02 8.489994e-02
1.299040e+02 1.250000e+02 1.350000e+02 4.432000e+00 2.200000e-02 2.200000e-02 8.100000e-02 8.100000e-02 8.393450e-02 8.393450e-02
1.408720e+02 1.350000e+02 1.470000e+02 4.431000e+00 2.300000e-02 2.300000e-02 8.200000e-02 8.200000e-02 8.516455e-02 8.516455e-02
1.533620e+02 1.470000e+02 1.600000e+02 4.376000e+00 2.400000e-02 2.400000e-02 8.200000e-02 8.200000e-02 8.544004e-02 8.544004e-02
1.673320e+02 1.600000e+02 1.750000e+02 4.377000e+00 2.500000e-02 2.500000e-02 8.300000e-02 8.300000e-02 8.668333e-02 8.668333e-02
1.833030e+02 1.750000e+02 1.920000e+02 4.350000e+00 2.700000e-02 2.700000e-02 8.400000e-02 8.400000e-02 8.823265e-02 8.823265e-02
2.012760e+02 1.920000e+02 2.110000e+02 4.254000e+00 2.800000e-02 2.800000e-02 8.400000e-02 8.400000e-02 8.854377e-02 8.854377e-02
2.217270e+02 2.110000e+02 2.330000e+02 4.274000e+00 3.000000e-02 3.000000e-02 8.600000e-02 8.600000e-02 9.108238e-02 9.108238e-02
