#   H/He  BESS-PolarII(2007/12-2008/01)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
6.061000e+00 5.885000e+00 6.244000e+00 5.798000e+00 1.300000e-02 1.300000e-02 2.230000e-01 1.580000e-01 2.233786e-01 1.585339e-01
6.434000e+00 6.244000e+00 6.630000e+00 5.779000e+00 1.300000e-02 1.300000e-02 2.250000e-01 1.570000e-01 2.253752e-01 1.575373e-01
6.834000e+00 6.630000e+00 7.046000e+00 5.764000e+00 1.300000e-02 1.300000e-02 2.280000e-01 1.550000e-01 2.283703e-01 1.555442e-01
7.265000e+00 7.046000e+00 7.493000e+00 5.720000e+00 1.400000e-02 1.400000e-02 2.270000e-01 1.530000e-01 2.274313e-01 1.536392e-01
7.729000e+00 7.493000e+00 7.973000e+00 5.683000e+00 1.400000e-02 1.400000e-02 2.260000e-01 1.510000e-01 2.264332e-01 1.516476e-01
8.292000e+00 7.973000e+00 8.626000e+00 5.643000e+00 1.300000e-02 1.300000e-02 2.250000e-01 1.490000e-01 2.253752e-01 1.495660e-01
8.975000e+00 8.626000e+00 9.342000e+00 5.618000e+00 1.400000e-02 1.400000e-02 2.240000e-01 1.470000e-01 2.244371e-01 1.476652e-01
9.725000e+00 9.342000e+00 1.013000e+01 5.603000e+00 1.500000e-02 1.500000e-02 2.220000e-01 1.450000e-01 2.225062e-01 1.457738e-01
1.055000e+01 1.013000e+01 1.099000e+01 5.567000e+00 1.500000e-02 1.500000e-02 2.200000e-01 1.430000e-01 2.205108e-01 1.437846e-01
1.145000e+01 1.099000e+01 1.194000e+01 5.490000e+00 1.600000e-02 1.600000e-02 2.170000e-01 1.410000e-01 2.175891e-01 1.419049e-01
1.244000e+01 1.194000e+01 1.297000e+01 5.449000e+00 1.700000e-02 1.700000e-02 2.150000e-01 1.400000e-01 2.156710e-01 1.410284e-01
1.354000e+01 1.297000e+01 1.412000e+01 5.476000e+00 1.800000e-02 1.800000e-02 2.160000e-01 1.410000e-01 2.167487e-01 1.421443e-01
1.473000e+01 1.412000e+01 1.538000e+01 5.407000e+00 1.900000e-02 1.900000e-02 2.140000e-01 1.390000e-01 2.148418e-01 1.402926e-01
1.605000e+01 1.538000e+01 1.676000e+01 5.351000e+00 2.000000e-02 2.000000e-02 2.120000e-01 1.380000e-01 2.129413e-01 1.394417e-01
1.749000e+01 1.676000e+01 1.827000e+01 5.292000e+00 2.100000e-02 2.100000e-02 2.100000e-01 1.370000e-01 2.110474e-01 1.386001e-01
1.909000e+01 1.827000e+01 1.995000e+01 5.212000e+00 2.200000e-02 2.200000e-02 2.070000e-01 1.360000e-01 2.081658e-01 1.377679e-01
2.084000e+01 1.995000e+01 2.179000e+01 5.238000e+00 2.400000e-02 2.400000e-02 2.090000e-01 1.370000e-01 2.103735e-01 1.390863e-01
2.297000e+01 2.179000e+01 2.423000e+01 5.101000e+00 2.300000e-02 2.300000e-02 2.040000e-01 1.350000e-01 2.052925e-01 1.369452e-01
2.556000e+01 2.423000e+01 2.698000e+01 5.132000e+00 2.500000e-02 2.500000e-02 2.060000e-01 1.370000e-01 2.075114e-01 1.392623e-01
2.846000e+01 2.698000e+01 3.005000e+01 5.059000e+00 2.700000e-02 2.700000e-02 2.050000e-01 1.370000e-01 2.067704e-01 1.396352e-01
3.172000e+01 3.005000e+01 3.351000e+01 4.972000e+00 2.900000e-02 2.900000e-02 2.030000e-01 1.380000e-01 2.050610e-01 1.410142e-01
3.538000e+01 3.351000e+01 3.739000e+01 4.977000e+00 3.200000e-02 3.200000e-02 2.050000e-01 1.410000e-01 2.074825e-01 1.445856e-01
3.948000e+01 3.739000e+01 4.173000e+01 4.887000e+00 3.400000e-02 3.400000e-02 2.040000e-01 1.420000e-01 2.068139e-01 1.460137e-01
4.408000e+01 4.173000e+01 4.660000e+01 4.901000e+00 3.800000e-02 3.800000e-02 2.080000e-01 1.480000e-01 2.114427e-01 1.528005e-01
4.924000e+01 4.660000e+01 5.207000e+01 4.755000e+00 4.000000e-02 4.000000e-02 2.060000e-01 1.490000e-01 2.098476e-01 1.542757e-01
5.503000e+01 5.207000e+01 5.820000e+01 4.767000e+00 4.500000e-02 4.500000e-02 2.100000e-01 1.540000e-01 2.147673e-01 1.604400e-01
6.152000e+01 5.820000e+01 6.508000e+01 4.651000e+00 4.800000e-02 4.800000e-02 2.120000e-01 1.600000e-01 2.173661e-01 1.670449e-01
7.137000e+01 6.508000e+01 7.846000e+01 4.700000e+00 4.300000e-02 4.300000e-02 2.240000e-01 1.740000e-01 2.280899e-01 1.792345e-01
8.608000e+01 7.846000e+01 9.467000e+01 4.686000e+00 5.000000e-02 5.000000e-02 2.360000e-01 1.890000e-01 2.412385e-01 1.955019e-01
1.039000e+02 9.467000e+01 1.143000e+02 4.586000e+00 5.700000e-02 5.700000e-02 2.550000e-01 2.150000e-01 2.612929e-01 2.224275e-01
1.255000e+02 1.143000e+02 1.381000e+02 4.376000e+00 6.400000e-02 6.400000e-02 2.650000e-01 2.300000e-01 2.726188e-01 2.387384e-01
1.516000e+02 1.381000e+02 1.669000e+02 4.575000e+00 8.000000e-02 8.000000e-02 3.230000e-01 2.920000e-01 3.327597e-01 3.027606e-01
